1501,198,48,46,天
1486,235,65,56,鵝
1496,290,44,25,不
1484,321,67,53,飛
1495,366,42,48,在
1491,406,61,41,天
1476,440,71,39,必
1491,475,48,52,浮
1492,522,50,38,在
1484,555,65,38,水
1491,593,40,29,未
1487,623,47,53,嘗
1477,678,62,29,下
1481,703,60,48,洲
1481,750,58,48,渚
1475,792,51,42,沙
1475,831,58,55,岸
1472,874,51,40,而
1466,900,72,53,遊
1473,951,49,45,非
1462,986,67,49,砲
1470,1032,59,51,丸
1431,200,55,50,則
1427,249,54,57,莫
1435,304,52,31,能
1425,335,53,68,中
1435,394,38,61,自
1425,450,47,40,古
1417,489,59,68,薦
1413,551,69,61,獻
1421,616,54,29,時
1410,644,69,41,必
1410,684,61,25,以
1407,705,73,41,砲
1429,735,38,49,手
1411,780,62,41,之
1412,817,57,43,所
1415,859,48,47,捕
1419,907,37,37,者
1412,937,47,55,用
1404,992,51,40,之
1401,1029,61,46,例
1366,212,65,37,也
1382,240,46,44,乙
1375,283,52,46,卯
1374,323,50,50,年
1368,380,63,30,柳
1364,413,61,50,?
1372,462,48,36,爲
1354,497,63,41,尙
1373,539,41,42,州
1354,585,59,36,牧
1364,616,50,42,使
1345,665,62,23,尙
1355,685,48,40,乃
1354,726,49,48,都
1354,770,49,41,會
1348,814,55,43,官
1347,851,62,30,也
1390,881,27,48,嶺
1393,920,25,46,南
1351,883,43,46,各
1353,935,53,42,官
1351,976,49,33,之
1337,1012,67,56,進
1307,192,56,49,封
1319,246,42,32,天
1309,284,54,46,鵝
1317,334,47,38,者
1301,524,55,73,?
1294,591,51,46,皆
1294,640,50,52,監
1290,690,57,57,封
1291,735,41,40,而
1295,778,45,51,京
1283,827,54,53,中
1280,877,75,42,至
1287,911,38,46,生
1284,963,48,50,畜
1293,1010,43,39,天
1282,1045,58,51,鵝
1239,201,61,44,欲
1264,254,29,35,專
1241,291,63,44,其
1242,333,63,45,利
1240,366,56,48,者
1242,413,52,57,陰
1229,473,69,56,嗾
1229,531,67,61,?
1232,589,49,45,使
1254,623,19,38,之
1221,660,53,39,皆
1214,701,69,49,退
1228,753,55,35,必
1220,788,64,48,令
1218,846,47,35,生
1217,884,53,42,天
1221,928,61,50,鵝
1214,979,59,53,來
1214,1034,62,56,納
1175,196,54,61,各
1168,257,64,36,官
1172,285,50,51,計
1167,337,64,50,無
1171,383,50,27,所
1163,408,62,61,措
1164,468,57,52,報
1169,519,36,30,于
1155,550,60,42,監
1173,599,37,43,司
1155,642,59,35,則
1151,677,52,48,監
1165,729,32,45,司
1193,748,35,49,新
1144,771,60,44,報
1146,820,66,61,禮
1147,875,57,35,曺
1145,909,62,48,問
1155,950,59,56,砲
1155,996,45,42,手
1159,1045,47,28,所
1099,198,56,52,捕
1102,247,49,38,亦
1109,284,33,35,可
1084,326,71,46,進
1099,371,55,47,封
1099,418,45,34,云
1104,458,45,39,則
1083,489,69,66,禮
1083,557,60,45,曺
1074,601,74,38,只
1094,642,58,45,憑
1100,688,33,29,下
1091,713,54,45,吏
1111,740,19,38,之
1084,770,56,56,言
1081,821,53,47,以
1085,858,51,44,爲
1081,902,55,61,莫
1087,964,54,44,重
1082,1016,63,54,祭
1027,185,56,79,享
1052,260,12,39,之
1019,295,57,41,物
1026,335,48,35,何
1039,366,35,39,可
1032,409,47,31,以
1021,434,67,50,砲
1037,478,30,42,手
1022,514,58,27,所
1008,546,66,56,捕
1032,593,38,54,進
1018,644,60,40,封
1019,683,59,76,耶
1015,755,52,33,以
1018,788,47,38,不
1025,828,43,28,當
1026,864,41,43,稟
1029,906,40,33,而
1013,938,60,43,敢
1023,981,55,53,稟
1026,1028,62,42,入
946,196,74,51,啓
947,245,57,53,請
956,297,52,60,推
941,349,63,45,方
945,400,67,47,伯
933,454,79,39,且
950,497,54,37,爲
942,535,62,51,定
940,584,68,54,式
945,631,49,51,自
941,683,73,40,今
950,723,48,37,以
935,761,71,41,後
939,801,64,41,必
944,842,58,31,以
952,865,38,42,生
941,904,72,67,禽
936,967,60,38,方
943,1010,48,27,爲
938,1037,77,41,進
768,198,68,58,封
783,257,51,35,而
779,286,57,36,以
796,335,55,50,是
787,385,64,25,如
796,410,40,46,未
795,447,33,40,易
787,485,53,50,得
784,538,60,41,則
793,576,43,47,京
803,619,33,48,中
791,662,42,41,生
792,704,54,66,畜
