1378,184,37,36,上
1371,221,50,34,曰
1369,250,55,42,放
1379,290,49,41,送
1382,334,35,32,始
1384,358,36,40,壽
1385,399,39,23,以
1385,420,36,37,李
1377,454,69,40,禮
1379,486,51,43,根
1395,524,26,32,事
1387,556,37,39,進
1380,593,55,51,讀
1377,641,61,55,積
1395,694,34,34,曰
1396,728,29,28,此
1389,759,49,32,罪
1399,789,25,33,可
1390,822,41,36,謂
1388,854,52,52,窮
1400,902,27,28,凶
1391,940,47,32,極
1396,976,37,40,惡
1405,1013,28,44,矣
1323,215,35,40,旣
1322,259,44,36,曰
1319,303,45,34,兄
1311,341,57,46,嫂
1323,432,45,29,咀
1321,458,51,38,呪
1321,492,46,35,其
1326,520,42,41,後
1320,559,54,29,母
1333,586,34,34,又
1329,616,47,47,博
1332,660,41,54,殺
1322,710,52,40,其
1329,745,53,36,兄
1322,779,54,42,嫂
1352,814,16,28,之
1331,844,47,31,婢
1326,875,61,29,又
1328,908,48,34,誣
1337,943,38,48,黃
1335,988,55,40,氏
1370,1024,25,15,以
1330,1024,55,47,淫
1256,221,47,47,奸
1269,267,30,47,矣
1271,359,25,28,上
1269,391,34,24,曰
1263,418,43,44,仍
1261,460,52,36,配
1262,496,44,44,始
1267,536,41,46,壽
1272,580,32,23,以
1270,604,37,35,奴
1263,639,45,35,丹
1262,673,45,39,伊
1273,708,28,30,事
1267,737,40,34,進
1262,770,56,47,讀
1264,814,49,55,積
1272,869,39,23,曰
1277,897,29,26,此
1280,924,27,24,則
1277,947,32,24,不
1279,971,29,29,可
1264,997,47,35,放
1271,1028,47,36,也
1202,213,42,43,强
1204,255,46,56,盜
1217,310,35,21,則
1210,335,45,51,是
1218,382,30,26,而
1214,414,33,24,不
1209,438,47,47,得
1210,483,41,40,財
1211,522,41,27,故
1210,550,49,43,減
1244,595,22,21,死
1248,620,18,26,定
1205,595,44,40,配
1211,634,39,48,矣
1212,718,34,32,上
1225,747,25,25,曰
1209,767,48,51,仍
1206,823,51,44,配
1206,868,45,36,始
1217,902,35,41,壽
1218,943,35,27,以
1204,974,44,37,繕
1219,1011,24,18,工
1201,1026,56,44,監
1155,214,37,29,書
1155,244,37,39,員
1150,281,41,49,孟
1149,327,46,46,豪
1150,374,44,52,業
1166,421,17,31,事
1146,451,51,39,進
1152,489,49,53,讀
1149,544,48,43,積
1160,581,38,35,曰
1156,615,35,26,此
1160,635,32,28,則
1144,662,53,30,雖
1150,692,47,36,因
1157,729,28,26,官
